Symbol,OrderID,Side,Price,Qty,ExecID
AAPL,algo20220411143307,2,1276.37,8388,exec20220411143307,
AAPL,algo20220411143307,2,1276.37,8388,exec20220411143308,
FB,algo20220411143313,1,430.62,6179,exec20220411143313,
GOOGL,algo20220411143318,1,289.20,5489,exec20220411143318,
INTC,algo20220411143321,2,339.13,3767,exec20220411143321,
INTC,algo20220411143321,2,339.13,3767,exec20220411143322,
CSCO,algo20220411143327,1,233.73,4329,exec20220411143327,
PYPL,algo20220411143331,2,723.61,6169,exec20220411143331,
PYPL,algo20220411143331,2,723.61,6169,exec20220411143332,
GILD,algo20220411143340,2,82.91,4452,exec20220411143340,
GILD,algo20220411143340,2,82.91,4452,exec20220411143341,
GILD,algo20220411143340,2,82.91,4452,exec20220411143343,
MDLZ,algo20220411143351,1,52.26,877,exec20220411143351,
MDLZ,algo20220411143351,1,52.26,877,exec20220411143352,
MDLZ,algo20220411143351,1,52.26,877,exec20220411143353,
DDD,algo20220411143358,2,8.01,4425,exec20220411143358,
WBAI,algo20220411143402,2,4.10,3337,exec20220411143402,
AOS,algo20220411143411,2,40.38,7952,exec20220411143411,
AIR,algo20220411143416,2,16.31,15631,exec20220411143416,
ABB,algo20220411143420,1,17.42,2608,exec20220411143420,
ABT,algo20220411143423,1,94.04,1903,exec20220411143423,
AAPL,algo20220411143430,1,284.65,6687,exec20220411143430,
PEP,algo20220411143433,1,45.43,2251,exec20220411143433,
,algo20220411143435,1,,1968,exec20220411143435,
